full_name,Semi-Major Axis (AU),Eccentricity,Inclination (deg),Perihelion Dist. (AU),Aphelion Dist. (AU),Period (Years),Diamter (km),Rotational Period (h)
  7466 (1989 VC2),3.347871353,0.1403134413,6.408537224,2.878120002,3.817622703,6.125779273,22.53,
  7505 Furusho (1997 AM2),2.6390704,0.3787961,6.37843,1.6394008,3.63874,4.287307743,9.07,4.14
  7536 Fahrenheit (1995 WB7),2.849382629,0.1543150639,12.61886295,2.409679966,3.289085291,4.809881321,24.77,
  7588 (1992 FJ1),3.214477406,0.1494510326,20.66507088,2.734070438,3.694884374,5.763333731,36.91,
  7605 (1995 SR1),3.1512346,0.0786055,25.84971,2.9035302,3.398939,5.594088016,30.84,
  7611 Hashitatsu (1996 BW1),2.98324278,0.1560036716,8.495128901,2.517845953,3.448639607,5.152774058,22.71,
  7612 (1996 CN2),3.165170148,0.08121922792,9.804370027,2.908097472,3.422242824,5.631236846,22.25,
  7635 (1983 VH1),3.082035871,0.1062356708,11.10354872,2.754613722,3.409458019,5.410840547,22.94,
  7641 (1986 TT6),5.2144433,0.0541339,34.69886,4.9321651,5.4967215,11.90748704,68.97,22.77
  7711 Rip (1994 XF),3.070807489,0.2749863321,12.18362235,2.226377401,3.915237577,5.381298573,15.81,
  7730 Sergerasimov (1978 NN1),2.848966,0.2864022,7.96728,2.0330159,3.6649161,4.808826593,15.83,
  7750 McEwen (1988 QD1),2.763213887,0.3731938072,15.86136765,1.731999577,3.794428198,4.593354421,12.47,27.8182
  7796 Jaracimrman (1996 BG),2.666173455,0.1424267326,12.81241307,2.286439081,3.045907828,4.353522592,12.54,
  7812 Billward (1984 UT),2.7827893,0.2306168,16.20379,2.1410313,3.4245473,4.642251802,23.48,
  7821 (1991 AC),2.888257595,0.01445423712,2.877669257,2.846510035,2.930005155,4.908650244,6.3,
  7859 Lhasa (1979 US),2.76163483,0.1362969952,3.749611685,2.385232301,3.138037359,4.589417627,16,
  7868 Barker (1984 UX2),2.681760695,0.2011439264,12.00943982,2.142340819,3.221180571,4.391756313,18.43,
  7874 (1991 BE),2.596981413,0.1696657571,26.84612116,2.156362595,3.03760023,4.185154202,13.66,
  7880 (1992 OM7),2.7858122,0.0434355,3.26796,2.6648091,2.9068153,4.649817958,17.66,
  7895 Kaseda (1995 DK1),3.152416,0.1481316,13.21486,2.6854436,3.6193884,5.597234323,28.51,5.11
  7916 (1981 EN),2.3661634,0.1633177,9.58637,1.979727,2.7525998,3.639781318,12.05,
  7949 (1992 SU),2.968501041,0.2730210732,17.59706316,2.158037701,3.778964381,5.114627514,18.45,17.91
  7950 Berezov (1992 SS26),3.103074878,0.1024004342,11.65514612,2.785318663,3.420831093,5.466339301,27.1,
  7965 Katsuhiko (1996 BD1),2.4364469,0.2898217,25.01911,1.7303117,3.1425821,3.803151575,21.02,5.3897
  7979 Pozharskij (1978 SV7),2.8491887,0.0759943,6.75604,2.6326666,3.0657108,4.809390218,15.03,
  7994 Bethellen (1983 CQ2),3.0538219,0.1096324,0.04448,2.7190241,3.3886197,5.336711663,21.26,
  7999 Nesvorny (1986 RA3),3.049903555,0.08519515637,11.70124472,2.790066545,3.309740565,5.326443952,21.09,
  8003 Kelvin (1987 RJ),2.2230999,0.1197598,2.84482,1.9568619,2.4893379,3.314718638,14.7,
  8013 Gordonmoore (1990 KA),2.199199849,0.4322669218,7.571845111,1.2485585,3.149841198,3.261408868,2.3,6
  8014 (1990 MF),1.746260669,0.4556565438,1.864684833,0.9505655681,2.54195577,2.307659941,0.7,
  8062 Okhotsymskij (1977 EZ),2.3870404,0.1009235,12.51947,2.1461319,2.6279489,3.688059009,14.99,5.282
  8067 Helfenstein (1980 RU),2.576738923,0.1420231701,15.33353028,2.210782293,2.942695554,4.136317134,23,
  8146 Jimbell (1983 WG),2.805273813,0.2163977949,11.29325772,2.198218746,3.41232888,4.698628284,12.4,
  8157 (1988 XG2),2.798800893,0.195805495,7.093733469,2.250780299,3.346821487,4.682375169,13.04,
  8223 Bradshaw (1996 PD),2.733987871,0.2298556339,9.509960988,2.105565356,3.362410386,4.520672832,13.92,
  8259 (1983 UG),2.253951107,0.2217998086,5.785133213,1.754025183,2.753877031,3.383957802,6.01,
  8292 (1992 SU14),2.72635551,0.1466668384,14.54015799,2.326489567,3.126221454,4.501755787,11.77,
  8342 (1986 QN3),2.2263015,0.1442286,3.12559,1.9052052,2.5473978,3.321881809,6.4,
  8354 (1989 RF),3.1935399,0.1468146,4.33436,2.7246816,3.6623982,5.707116261,18.78,
  8380 Tooting (1992 SW17),2.747559281,0.156047679,14.00514809,2.318809032,3.17630953,4.554375237,12.13,36.929
  8405 Asbolus (1995 GO),18.06828614,0.619240258,17.62015855,6.87967597,29.25689631,76.80396513,66,8.9351
  8449 Maslovets (1977 EO1),3.039298495,0.1525632735,2.874057599,2.575613167,3.502983822,5.298686619,19.79,
  8486 (1989 QV),3.1585293,0.1391983,23.60995,2.7188674,3.5981912,5.613523877,23.53,
  8487 (1989 SQ),2.3653766,0.2310187412,4.258851069,1.818930275,2.911822924,3.637966088,10.98,9.4323
  8579 Hieizan (1996 XV19),2.479079248,0.1924305637,1.933970937,2.002028631,2.956129865,3.903406826,14.31,
  8701 (1993 LG2),3.169787742,0.1420907282,6.714425166,2.719390293,3.62018519,5.643564261,17.89,
  8721 AMOS (1996 AO3),3.885764741,0.02700706209,5.445402016,3.780821651,3.990707831,7.659897481,49.91,
  8737 Takehiro (1997 AL13),3.1206005,0.1143364,11.4957,2.7638023,3.4773987,5.512713936,21.24,
  8802 (1981 EW31),3.1075458,0.1206011,9.93969,2.7327724,3.4823192,5.478157615,17.21,
  8813 Leviathan (1983 WF1),3.15889773,0.3213819223,21.09368293,2.143685105,4.174110354,5.614506007,13.59,
  8823 (1987 WS3),2.568705,0.2428092,13.55872,1.9449998,3.1924102,4.11698751,11.58,
  8861 Jenskandler (1991 TF7),2.6022583,0.2048778,10.96491,2.0691133,3.1354033,4.197916445,21.86,
  8889 Mockturtle (1994 OC),3.035658757,0.1405419386,11.97865397,2.609021391,3.462296124,5.289171239,23.59,
  8891 Irokawa (1994 RC1),3.1442845,0.2274198,9.39265,2.4292119,3.8593571,5.575591707,17.07,
  8917 (1996 EU2),3.408197434,0.1132217699,15.47441313,3.022315289,3.79407958,6.292095708,34.34,
  8951 (1997 FO),3.047736504,0.04794083994,10.17376827,2.901625456,3.193847552,5.320768057,22.06,
  9003 (1981 UW21),2.781562209,0.07405714721,5.345037539,2.575567647,2.987556771,4.639181546,21.22,
  9090 Chirotenmondai (1995 UW8),2.7461776,0.0971177,13.74778,2.4794751,3.0128801,4.550940376,17.03,
  9107 Narukospa (1997 AE4),2.8651569,0.2041425,6.80968,2.2802566,3.4500572,4.849877909,19.07,
